Time,NodeId,Delay
13.2413,36,0.646513
13.2414,400,0.348061
13.2416,403,0.298381
13.2416,406,0.650202
13.2417,36,0.365572
13.2419,36,1.34136
13.242,36,0.336654
13.2424,407,0.423649
13.2426,36,0.458233
13.2427,405,0.811455
13.2427,408,0.250435
13.2429,402,0.475793
13.2429,36,0.330892
13.2432,403,0.297209
13.2433,400,0.349969
13.2436,36,0.338305
13.2437,36,0.714514
13.244,36,1.32909
13.244,36,0.367896
13.2441,36,0.637602
13.2443,36,0.459922
13.2443,408,0.250435
13.2444,406,0.653035
13.2445,407,0.406393
13.2447,401,0.722144
13.2447,403,0.298793
13.2448,36,0.3328
13.2452,400,0.349969
13.2453,36,0.333622
13.2454,402,0.475326
13.2456,405,0.814337
13.2459,36,1.34503
13.246,408,0.252086
13.246,36,0.455316
13.2462,36,0.361509
13.2462,36,1.33124
13.2463,403,0.297209
13.2465,36,0.712197
13.2466,36,0.808231
13.2467,407,0.408522
13.2467,36,0.334534
13.2469,401,0.722144
13.247,36,0.329012
13.2471,400,0.351878
13.2473,406,0.647134
13.2475,36,0.641012
13.2476,408,0.252086
13.2478,36,0.457045
13.2479,403,0.298793
13.248,402,0.477876
13.2483,36,0.363638
13.2483,36,1.30481
13.2484,405,0.805427
13.2486,36,0.33059
13.2488,407,0.397906
13.2489,36,0.336792
13.249,400,0.350655
13.249,401,0.724295
13.2491,36,0.714747
13.2493,408,0.253736
13.2494,36,0.808231
13.2495,403,0.297209
13.2498,36,0.457397
13.2501,406,0.649967
13.2504,36,0.326058
13.2504,36,0.643631
13.2504,36,0.35726
13.2505,36,1.25521
13.2505,402,0.477643
13.2509,36,0.338526
13.2509,407,0.395387
13.2509,400,0.352564
13.2509,408,0.253569
13.2511,403,0.298793
13.2512,36,0.458773
13.2519,36,0.717297
13.252,401,0.7251
13.252,36,0.327708
13.2521,405,0.8091
13.2525,36,0.811305
13.2526,408,0.255219
13.2526,36,1.25736
13.2527,403,0.297209
13.2528,36,0.359575
13.2529,406,0.627345
13.2529,36,0.450999
13.2531,407,0.397516
13.2531,402,0.480193
13.2531,36,0.340784
13.2532,400,0.352913
13.2533,36,0.646513
13.2534,36,1.3525
13.2537,36,0.323026
13.2541,401,0.727251
13.2542,403,0.298793
13.2542,408,0.255386
13.2544,36,0.719847
13.2545,36,0.452583
13.2548,36,1.25565
13.2549,36,0.355316
13.255,36,0.342518
13.2551,36,0.799741
13.2552,407,0.397321
13.2555,36,0.324843
13.2556,402,0.480193
13.2558,403,0.297209
13.2559,408,0.257037
13.256,406,0.630437
13.2561,36,0.450999
13.2562,36,0.643678
13.2564,405,0.810282
13.2569,36,0.344426
13.2569,36,1.2578
13.257,36,0.319993
13.257,36,0.357474
13.2572,36,0.712431
13.2574,403,0.298793
13.2575,407,0.399645
13.2575,408,0.257037
13.2578,36,0.452728
13.2582,402,0.482743
13.2583,36,0.802987
13.2588,36,0.321802
13.2588,406,0.627345
13.259,403,0.297166
13.259,36,0.34651
13.2591,36,1.25375
13.2591,36,0.352993
13.2592,408,0.257037
13.2593,405,0.813164
13.2593,36,0.646824
13.2596,407,0.399645
13.2597,36,0.448266
13.2604,36,0.317112
13.2606,403,0.29875
13.2609,36,1.35997
13.2609,408,0.258687
13.2609,36,0.802494
13.2611,36,0.348638
13.2612,402,0.48321
13.2612,36,1.25591
13.2613,36,0.355122
13.2614,36,0.449995
13.2618,407,0.401774
13.2619,406,0.630437
13.2622,403,0.297209
13.2622,36,0.318913
13.2625,408,0.258687
13.2625,36,0.717764
13.2627,36,0.638658
13.2628,36,0.350152
13.2632,36,0.445389
13.2634,36,1.23257
13.2636,36,0.351058
13.2637,36,0.805226
13.2637,402,0.485759
13.2637,403,0.298793
13.2639,407,0.401774
13.2641,36,0.317634
13.2642,408,0.260338
13.2647,36,0.352061
13.2648,406,0.630437
13.2649,36,0.447118
13.2651,36,0.715214
13.2653,403,0.296828
13.2653,405,0.81631
13.2655,36,1.23472
13.2657,36,0.353187
13.2658,408,0.260338
13.2658,36,0.31935
13.2659,401,0.736846
13.2659,36,0.641804
13.266,407,0.403903
13.2663,402,0.482509
13.2666,36,0.353795
13.2667,36,0.808016
13.2669,403,0.298411
13.2672,36,0.441496
13.2675,408,0.261988
13.2676,406,0.633269
13.2676,36,0.717764
13.2676,36,0.314818
13.2679,36,0.3468
13.268,36,1.36713
13.268,401,0.738997
13.2682,405,0.819192
13.2683,407,0.397509
13.2686,36,0.355703
13.2686,403,0.298938
13.2688,36,0.630275
13.2688,402,0.485059
13.2691,408,0.261988
13.2694,36,0.31662
13.2699,36,0.811242
13.27,36,0.348929
13.2702,36,0.710114
13.2702,403,0.300522
13.2704,36,0.444664
13.2705,36,0.357437
13.2705,407,0.399639
13.2707,406,0.633348
13.2711,405,0.813428
13.2712,36,0.312088
13.2714,402,0.485059
13.2717,36,0.627129
13.2718,403,0.300123
13.272,36,0.444519
13.2721,36,0.344671
13.2724,36,0.359346
13.2724,36,0.804986
13.2726,36,1.37175
13.2728,407,0.39984
13.273,36,0.712897
13.2731,36,0.313889
13.2734,403,0.301707
13.2735,406,0.63618
13.2735,36,0.446103
13.2739,402,0.487609
13.274,405,0.81631
13.2742,36,0.3468
13.2743,36,0.36109
13.2745,36,1.24115
13.2745,36,0.630011
13.2749,36,0.309358
13.2749,407,0.401969
13.275,403,0.298777
13.2752,401,0.743966
13.2753,36,0.438396
13.2755,36,0.712664
13.2758,36,0.808329
13.2762,36,0.362988
13.2762,400,0.375935
13.2764,406,0.635712
13.2764,36,0.340413
13.2765,402,0.487609
13.2766,403,0.29706
13.2767,36,0.311159
13.2767,36,1.2433
13.2769,405,0.813164
13.2771,407,0.397516
13.2771,36,0.440157
13.2777,36,0.632893
13.278,36,0.804621
13.2781,36,0.715214
13.2781,36,0.364722
13.2781,400,0.37587
13.2781,403,0.298644
13.2784,36,0.435153
13.2785,36,0.342542
13.2788,36,1.23643
13.2789,36,0.307034
13.279,402,0.490159
13.2792,407,0.399645
13.2792,406,0.638544
13.2794,36,1.3785
13.2797,403,0.281371
13.2799,36,0.430265
13.28,36,0.366631
13.28,400,0.377778
13.28,405,0.81631
13.2803,36,0.30848
13.2806,36,0.635775
13.2806,36,0.714981
13.2808,36,0.798956
13.2809,36,0.34259
13.281,36,1.23858
13.2813,403,0.282955
13.2813,407,0.393258
13.2815,36,0.431848
13.2816,402,0.489926
13.2819,36,0.368365
13.2819,400,0.377844
13.282,36,0.303808
13.282,406,0.639193
13.2829,403,0.281371
13.2829,405,0.810282
13.283,36,0.334026
13.2832,36,0.712197
13.2832,36,0.427242
13.2834,407,0.395387
13.2835,36,0.629747
13.2837,36,0.305548
13.2838,36,0.370099
13.2838,400,0.379752
13.284,401,0.752854
13.2841,402,0.484826
13.2845,403,0.282955
13.2847,36,0.802826
13.2849,406,0.642026
13.2851,36,0.429184
13.2853,36,0.33635
13.2856,407,0.382612
13.2856,36,0.301149
13.2857,36,0.714747
13.2857,36,0.372007
13.2857,400,0.379586
13.2858,405,0.813164
13.2861,403,0.281371
13.2862,401,0.739946
13.2863,36,0.632629
13.2866,36,0.428971
13.2867,402,0.487376
13.2868,36,1.38597
13.2873,36,0.296484
13.2874,36,0.329962
13.2876,403,0.282955
13.2876,36,0.373741
13.2877,400,0.381494
13.2877,406,0.623994
13.2877,407,0.384741
13.2878,36,0.78297
13.2883,36,0.711964
13.2889,405,0.807136
13.289,36,0.298135
13.2892,402,0.487376
13.2892,403,0.282846
13.2895,36,0.632629
13.2895,36,0.332092
13.2896,400,0.381661
13.2896,36,0.375684
13.2898,407,0.384547
13.2904,36,0.785572
13.2908,406,0.623811
