Time,Bytes
9.96263,54
9.96282,590
9.96296,590
9.96308,54
9.96322,590
9.9633,542
9.96358,54
9.96395,542
9.96417,590
9.96431,542
9.9648,590
9.96495,54
9.96509,54
9.96524,54
9.96538,54
9.96542,590
9.96553,54
9.9656,590
9.96565,54
9.96567,54
9.9658,590
9.96582,54
9.96591,590
9.96596,54
9.96611,54
9.96625,54
9.9664,54
9.96654,54
9.96669,54
9.96672,590
9.9668,54
9.96683,54
9.96698,54
9.96712,542
9.96712,54
9.96727,54
9.96738,542
9.96741,54
9.96756,54
9.9677,54
9.96785,54
9.96799,54
9.96813,590
9.96814,54
9.96821,590
9.96875,590
9.96877,590
9.96918,590
9.96927,590
9.96951,590
9.96972,590
9.97001,54
9.97029,542
9.97102,590
9.97103,590
9.9713,590
9.97147,542
9.97158,590
9.97179,542
9.97182,590
9.97194,590
9.97289,590
9.97345,542
9.97354,54
9.97359,590
9.9739,590
9.97437,590
9.97441,590
9.97447,590
9.97461,54
9.9751,590
9.9751,590
9.97555,542
9.97568,590
9.97606,590
9.97645,54
9.97662,542
9.97678,590
9.97696,590
9.97716,590
9.97724,590
9.97764,590
9.97768,590
9.97827,590
9.97922,590
9.97926,542
9.97964,542
9.97966,590
9.97971,590
9.97979,542
9.97979,54
9.97996,590
9.98008,590
9.98081,590
9.98144,590
9.98176,590
9.98226,590
9.98239,590
9.98255,590
9.98289,54
9.98291,590
9.98295,542
9.98316,590
9.98317,54
9.98372,542
9.98397,590
9.9846,590
9.98481,590
9.98491,590
9.98543,590
9.98556,590
9.98585,590
9.986,590
9.98625,54
9.98625,590
9.98673,542
9.98682,590
9.98714,590
9.98736,590
9.98759,54
9.98777,542
9.98781,542
9.98831,590
9.98846,590
9.98872,590
9.98873,590
9.98883,590
9.9889,54
9.98942,590
9.98978,590
9.98993,590
9.99014,590
9.99031,590
9.99063,590
9.99094,542
9.99108,54
9.99119,590
9.99146,54
9.99166,590
9.99172,54
9.99189,542
9.99189,590
9.99198,54
9.99259,590
9.99269,590
9.99292,54
9.99348,590
9.99402,590
9.9941,542
9.99421,542
9.9943,54
9.9945,590
9.99487,590
9.99506,590
9.99513,54
9.99547,590
9.99575,590
9.99597,542
9.99665,590
9.99695,590
9.99727,542
9.99733,590
9.99751,54
9.99801,590
9.99802,590
9.9981,590
9.9981,590
9.99823,590
9.99892,590
9.99957,590
9.99978,590
9.99981,590
10.0001,542
10.0002,590
10.0004,54
10.0004,542
10.0006,590
10.0007,54
10.0008,54
10.0014,590
10.0015,590
10.0017,542
10.0021,590
10.0022,590
10.0029,590
10.003,590
10.003,590
10.0031,590
10.0034,590
10.0035,590
10.0036,542
10.0038,590
10.0041,542
10.0046,590
10.0053,590
10.0053,590
10.0055,54
10.0056,590
10.0056,54
10.0057,590
10.0057,590
10.0061,590
10.0063,590
10.0063,590
10.0067,590
10.0068,542
10.0075,54
10.0077,590
10.0082,590
10.0082,542
10.0084,590
10.0084,590
10.0085,590
10.0092,542
10.0092,590
10.0093,590
10.0095,54
10.0099,542
10.0103,590
10.0104,590
10.0107,54
10.0108,590
10.0109,590
10.011,54
10.0116,590
10.012,590
10.0123,542
10.0125,590
10.013,590
10.0131,542
10.0136,590
10.0141,590
10.0141,54
10.0143,590
10.0144,590
10.0148,590
10.0148,590
10.0153,590
10.0157,590
10.0161,590
10.0162,590
10.0163,542
10.0164,542
10.0166,542
10.0172,590
10.0173,590
10.0175,54
10.0176,590
10.0177,590
10.0179,590
10.0179,54
10.0181,590
10.0181,54
10.0182,54
10.0185,590
10.0187,590
10.0188,590
10.0194,542
10.02,590
10.0204,590
10.0204,590
10.0205,542
10.0205,590
10.021,542
10.021,590
10.0211,590
10.0212,590
10.0219,590
10.022,590
10.0226,590
10.0226,590
10.0232,590
10.0236,590
10.0238,590
10.0238,590
10.0239,590
10.024,590
10.0241,542
10.0241,542
10.0246,542
10.0252,590
10.0258,590
10.0258,590
10.0263,590
10.0265,54
10.0267,590
10.0267,590
10.0267,590
10.0268,590
10.0273,542
10.0277,590
10.028,590
10.0283,590
10.0285,54
10.0286,54
10.0287,542
10.0288,54
10.0289,54
10.0289,590
10.029,54
10.0291,590
10.0292,54
10.0295,590
10.0296,590
10.0297,590
10.03,54
10.0305,542
10.0308,590
10.0308,590
10.0311,54
10.0315,590
10.0316,542
10.0316,590
10.0317,590
10.0319,54
10.0321,590
10.0321,54
10.0324,590
10.0324,590
10.0327,542
10.0329,590
10.0334,590
10.0336,542
10.0339,590
10.0341,54
10.0342,54
10.0344,54
10.0345,54
10.0346,590
10.0347,590
10.0347,54
10.0348,54
10.0349,590
10.035,54
10.0351,54
10.0352,590
10.0353,590
10.0353,590
10.0355,590
10.0357,590
10.036,54
10.0367,590
10.0368,542
10.0368,542
10.0372,590
10.0372,590
10.0374,54
10.0377,54
10.0379,54
10.038,590
10.0383,590
10.0383,54
10.0384,590
10.039,590
10.0391,590
10.0394,590
10.0399,590
10.04,542
10.0405,590
10.0405,590
10.0409,542
10.041,590
10.0411,590
10.0414,590
10.0416,54
10.0416,590
10.0417,54
10.0418,54
10.0418,590
10.0429,590
10.0429,590
10.0429,542
10.043,590
10.043,590
10.0433,590
10.0433,590
10.0434,590
10.0435,54
10.0436,54
10.0436,54
10.0437,54
10.0439,54
10.0439,590
10.044,54
10.0442,54
10.0447,590
10.0448,590
10.045,542
10.0452,590
10.0456,590
10.0458,590
10.0459,54
10.0468,590
10.0468,590
10.0468,590
10.0469,590
10.0471,590
10.0475,590
10.0475,590
10.0481,590
10.0485,590
10.0487,590
10.0491,590
10.0491,542
10.0496,590
10.0502,590
10.0504,542
10.0504,590
10.0506,590
10.0507,590
10.0507,590
10.0507,54
10.0507,54
10.0509,54
10.0509,54
10.0509,54
10.0512,590
10.0518,54
10.0518,590
10.052,54
10.0522,590
10.0524,590
10.0528,590
10.053,54
10.0532,542
10.0532,54
10.0534,54
10.0534,590
10.0535,54
10.0536,590
10.0536,590
10.0537,54
10.0538,590
10.0539,54
10.054,54
10.0542,54
10.0543,590
10.0544,54
10.0547,54
10.055,54
10.0553,590
10.0553,590
10.0553,590
10.0554,54
10.0554,54
10.0554,590
10.0554,54
10.0557,54
10.056,590
10.0561,62
10.0564,590
10.0566,62
10.0567,54
10.057,62
10.057,590
10.0571,590
10.0572,542
10.0574,590
10.0574,62
10.0575,590
10.0578,62
10.058,590
10.0581,590
10.0582,70
10.0585,590
10.0586,590
10.0587,70
10.0587,590
10.0592,70
10.0594,590
10.0594,590
10.0595,54
10.0596,70
10.0597,54
